Config Name	Ontology	Phylogenetic True	Conditional False	Derivate False	Random Falses	Random Falses Min Perc	Random False Val	OWA Weighted Fmax (micro)	OWA Weighted MCC (micro)	OWA Weighted AUPRC	CAFA Weighted Fmax	CAFA AUPRC	OWA Sort Score	CWA Sort Score	Sort Score
Best OWA	BP	0.91	0.36	0.01	true	0.33	0.41	0.9929253040972366	0.37064927991999064	0.963940633658014	0.5021731001206431	0.1898452431597295	0.7758384058917471	0.3460091716401863	0.6039067121911229
Best CWA	BP	1.0	0.39	0.39	true	0.34	0.23	0.9414925713316993	0.16344736012958844	0.5660538382086855	0.5247213281933558	0.21994851000778515	0.5569979232233244	0.3723349191005705	0.48313272157422277
Best Sort	BP	0.98	0.38	0.03	true	0.35	0.23	0.9933265078176222	0.3687878516933954	0.9379324949333454	0.522387578392169	0.2193415392773755	0.7666822848147877	0.37086455883477226	0.6083551944227816
