Config Name	Ontology	Phylogenetic True	Conditional False	Derivate False	Random Falses	Random Falses Min Perc	Random False Val	OWA Weighted Fmax (micro)	OWA Weighted MCC (micro)	OWA Weighted AUPRC	CAFA Weighted Fmax	CAFA AUPRC	OWA Sort Score	CWA Sort Score	Sort Score
Best OWA	MF	0.94	0.41	0.03	true	0.14	0.28	0.989581195422312	0.6494672657872924	0.9691515751785967	0.8765715216951815	0.4499189124180333	0.8694000121294004	0.6632452170566074	0.7869380941002833
Best CWA	MF	0.98	0.28	0.15	true	0.41	0.15	0.9341691823356172	0.40502442897903806	0.7026333738360168	0.8920579890142252	0.4764260451987711	0.680608995050224	0.6842420171064981	0.6820622038727336
Best Sort	MF	0.9	0.3	0.06	true	0.11	0.25	0.9905668751244127	0.6449735427075419	0.9617865704281681	0.8662303910878235	0.47122773420886305	0.8657756627533741	0.6687290626483433	0.7869570227113617
