Config Name	Ontology	Phylogenetic True	Conditional False	Derivate False	Random Falses	Random Falses Min Perc	Random False Val	OWA Weighted Fmax (micro)	OWA Weighted MCC (micro)	OWA Weighted AUPRC	CAFA Weighted Fmax	CAFA AUPRC	OWA Sort Score	CWA Sort Score	Sort Score
Best Sort	CC	0.96	0.25	0.12	true	0.35	0.24	0.8842435187357246	0.5215362958949933	0.8206331585917751	0.5971579450774602	0.2625848426692203	0.7421376577408311	0.4298713938733403	0.6172311521938347
Best CWA	CC	0.96	0.24	0.15	true	0.28	0.1	0.7897526148125877	0.39680851247238097	0.580446965859288	0.6269518828166325	0.2770072297532516	0.5890026977147523	0.451979556284942	0.5341934411428283
Best Sort	CC	0.96	0.25	0.12	true	0.35	0.24	0.8842435187357246	0.5215362958949933	0.8206331585917751	0.5971579450774602	0.2625848426692203	0.7421376577408311	0.4298713938733403	0.6172311521938347
